ID,動作指示
Test01,右腕をゆっくりと体の右側遠くへ顔の高さまで上げ、軽く肘を伸ばして、手のひらを上に向けてください。
Test02,右腕を胸の高さで体の右側遠くへ出し、軽く肘を曲げて、手のひらを上に向けてください。
Test03,右腕を体の右側遠くへ顔の高さまで伸ばし、軽く肘を曲げて、手の甲を上に向けてください。
Test04,右腕を胸の高さまで上げ、肘を曲げて、手のひらを下に向けてください。
Test05,右腕を胸の高さで体の右側へゆっくり上げ、肘を曲げて、手のひらを内側に向けてください。
Test06,右腕を腰の高さで体の右側へゆっくり上げ、軽く肘を曲げて、手のひらを内側に向けてください。
Test07,右腕を顔の高さまでゆっくり上げ、軽く肘を伸ばして、手のひらを外に向けてください。
Test08,右腕を胸の高さで体の右横へ出し、肘を曲げて、手の甲を内側に向けてください。
Test09,右腕を胸の高さで体の右側へ出し、肘を曲げて、手の甲を右に向けてください。
Test10,右腕を体の右側へ出して顔の高さに保ち、肘を曲げて、手のひらを左に向けてください。
Test11,右腕を胸の高さで体の右側遠くへゆっくり出し、肘を曲げて、手のひらを右に向けてください。
Test12,右腕を顔の高さまで上げ、手は体の右側遠くに配置して肘を曲げ、手のひらを右に向けてください。
